Name;Sex;Age;Length/Orientation;Grasp;Repetition;Movement;Position;MovementTime - 2016-06-01T14:04:09.044+02:00
alguien;Male;24;large-vertical;1H;1;D;23;0.026
alguien;Male;24;large-vertical;1H;1;D;23;0.048
alguien;Male;24;large-vertical;1H;1;D;23;0.072
alguien;Male;24;large-vertical;1H;1;D;23;0.096
alguien;Male;24;large-vertical;1H;1;D;23;0.119
alguien;Male;24;large-vertical;1H;1;D;23;0.141
alguien;Male;24;large-vertical;1H;1;D;23;0.166
alguien;Male;24;large-vertical;1H;1;D;23;0.189
alguien;Male;24;large-vertical;1H;1;D;23;0.211
alguien;Male;24;large-vertical;1H;1;D;23;0.237
alguien;Male;24;large-vertical;1H;1;D;23;0.258
alguien;Male;24;large-vertical;1H;1;D;23;0.283
alguien;Male;24;large-vertical;1H;1;D;23;0.307
alguien;Male;24;large-vertical;1H;1;D;23;0.328
alguien;Male;24;large-vertical;1H;1;D;23;0.352
alguien;Male;24;large-vertical;1H;1;D;23;0.378
alguien;Male;24;large-vertical;1H;1;D;23;0.398
alguien;Male;24;large-vertical;1H;1;D;23;0.423
alguien;Male;24;large-vertical;1H;1;D;23;0.447
alguien;Male;24;large-vertical;1H;1;D;23;0.469
alguien;Male;24;large-vertical;1H;1;D;23;0.492
alguien;Male;24;large-vertical;1H;1;D;23;0.516
alguien;Male;24;large-vertical;1H;1;D;23;0.542
alguien;Male;24;large-vertical;1H;1;D;23;0.564
alguien;Male;24;large-vertical;1H;1;D;23;0.586
alguien;Male;24;large-vertical;1H;1;D;23;0.61
alguien;Male;24;large-vertical;1H;1;D;23;0.635
alguien;Male;24;large-vertical;1H;1;D;23;0.658
alguien;Male;24;large-vertical;1H;1;D;23;0.68
alguien;Male;24;large-vertical;1H;1;D;23;0.703
alguien;Male;24;large-vertical;1H;1;D;23;0.728
alguien;Male;24;large-vertical;1H;1;D;23;0.753
alguien;Male;24;large-vertical;1H;1;D;23;0.774
alguien;Male;24;large-vertical;1H;1;D;23;0.8
alguien;Male;24;large-vertical;1H;1;D;23;0.821
alguien;Male;24;large-vertical;1H;1;D;23;0.846
alguien;Male;24;large-vertical;1H;1;D;23;0.87
alguien;Male;24;large-vertical;1H;1;D;23;0.891
alguien;Male;24;large-vertical;1H;1;D;23;0.915
alguien;Male;24;large-vertical;1H;1;D;23;0.942
alguien;Male;24;large-vertical;1H;1;D;23;0.961
alguien;Male;24;large-vertical;1H;1;D;23;0.987
alguien;Male;24;large-vertical;1H;1;D;24;1.008
alguien;Male;24;large-vertical;1H;1;D;24;1.032
alguien;Male;24;large-vertical;1H;1;D;24;1.059
alguien;Male;24;large-vertical;1H;1;D;24;1.081
alguien;Male;24;large-vertical;1H;1;D;24;1.106
alguien;Male;24;large-vertical;1H;1;D;24;1.126
alguien;Male;24;large-vertical;1H;1;D;24;1.15
alguien;Male;24;large-vertical;1H;1;D;24;1.176
alguien;Male;24;large-vertical;1H;1;D;24;1.196
alguien;Male;24;large-vertical;1H;1;D;24;1.223
alguien;Male;24;large-vertical;1H;1;D;24;1.244
alguien;Male;24;large-vertical;1H;1;D;24;1.269
alguien;Male;24;large-vertical;1H;1;D;25;1.292
alguien;Male;24;large-vertical;1H;1;D;25;1.316
alguien;Male;24;large-vertical;1H;1;D;25;1.34
alguien;Male;24;large-vertical;1H;1;D;25;1.36
alguien;Male;24;large-vertical;1H;1;D;25;1.384
alguien;Male;24;large-vertical;1H;1;D;25;1.41
alguien;Male;24;large-vertical;1H;1;D;25;1.432
alguien;Male;24;large-vertical;1H;1;D;25;1.458
alguien;Male;24;large-vertical;1H;1;D;25;1.478
alguien;Male;24;large-vertical;1H;1;D;33;1.502
alguien;Male;24;large-vertical;1H;1;D;33;1.524
alguien;Male;24;large-vertical;1H;1;D;33;1.55
alguien;Male;24;large-vertical;1H;1;D;33;1.574
alguien;Male;24;large-vertical;1H;1;D;70;1.598
alguien;Male;24;large-vertical;1H;1;D;70;1.62
alguien;Male;24;large-vertical;1H;1;D;70;1.642
alguien;Male;24;large-vertical;1H;1;D;70;1.667
alguien;Male;24;large-vertical;1H;1;D;70;1.691
alguien;Male;24;large-vertical;1H;1;D;130;1.714
alguien;Male;24;large-vertical;1H;1;D;130;1.739
alguien;Male;24;large-vertical;1H;1;D;130;1.762
alguien;Male;24;large-vertical;1H;1;D;130;1.784
alguien;Male;24;large-vertical;1H;1;D;185;1.809
alguien;Male;24;large-vertical;1H;1;D;185;1.83
alguien;Male;24;large-vertical;1H;1;D;185;1.855
alguien;Male;24;large-vertical;1H;1;D;185;1.88
alguien;Male;24;large-vertical;1H;1;D;209;1.901
alguien;Male;24;large-vertical;1H;1;D;209;1.925
