Name;Sex;Age;Length/Orientation;Grasp;Repetition;Position;Overshoot;MovementTime - 2016-04-23T21:56:50.247+02:00
Honeybear;Female;25;large-vertical;1H;1;D;0;2100
Honeybear;Female;25;large-vertical;1H;2;U;0;1421
Honeybear;Female;25;large-vertical;1H;3;D;0;1575
Honeybear;Female;25;large-vertical;1H;4;U;0;1311
Honeybear;Female;25;large-vertical;1H;5;D;0;1608
Honeybear;Female;25;large-vertical;1H;6;U;0;1805
Honeybear;Female;25;large-vertical;1H;7;D;0;2597
Honeybear;Female;25;large-vertical;1H;8;U;0;1800
Honeybear;Female;25;large-vertical;1H;9;D;0;2822
Honeybear;Female;25;large-vertical;1H;10;U;1;3314
Honeybear;Female;25;large-vertical;1H;11;D;0;1274
Honeybear;Female;25;large-vertical;1H;12;U;0;813
Honeybear;Female;25;large-vertical;1H;13;D;0;1198
Honeybear;Female;25;large-vertical;1H;14;U;0;1001
Honeybear;Female;25;large-vertical;1H;15;D;1;1313
Honeybear;Female;25;large-vertical;1H;16;U;2;2408
Honeybear;Female;25;small-tilted;1H;1;U;1;2407
Honeybear;Female;25;small-tilted;1H;2;D;1;1797
Honeybear;Female;25;small-tilted;1H;3;U;1;3317
Honeybear;Female;25;small-tilted;1H;4;D;2;4306
Honeybear;Female;25;small-tilted;1H;5;U;2;3621
Honeybear;Female;25;small-tilted;1H;6;D;3;4979
Honeybear;Female;25;small-tilted;1H;7;U;1;1803
Honeybear;Female;25;small-tilted;1H;8;D;0;1499
Honeybear;Female;25;small-tilted;1H;9;U;0;1801
Honeybear;Female;25;small-tilted;1H;10;D;0;1423
Honeybear;Female;25;small-tilted;1H;11;U;0;1497
Honeybear;Female;25;small-tilted;1H;12;D;0;1500
Honeybear;Female;25;small-tilted;1H;13;U;1;2404
Honeybear;Female;25;small-tilted;1H;14;D;0;1009
Honeybear;Female;25;small-tilted;1H;15;U;0;1687
Honeybear;Female;25;small-tilted;1H;16;D;0;1497
Honeybear;Female;25;large-tilted;1H;1;D;0;1608
